package,member,total
archive/tar,FileInfoHeader,5
math,Acos,5
syscall,SetNonblock,5
net/http,HandlerFunc.ServeHTTP,5
runtime/pprof,WriteHeapProfile,5
net/http,ReadRequest,5
sort,SearchStrings,5
io,Closer.Close,5
math/rand,ExpFloat64,5
utf8,DecodeRuneInString,5
reflect,Select,5
appengine/urlfetch,Client,5
compress/zlib,NewReader,5
bytes,Buffer.Grow,5
cmd/compile/internal/gc,Fatal,5
encoding/asn1,Unmarshal,5
expvar,NewString,5
sort,IntSlice,5
storage,FolderExists,5
clive/dbg,FlagPrintf,5
dfss/dfssc/common,MockViper,5
syscall,NsecToFiletime,5
strings,Map,5
syscall,Setrlimit,5
unicode/utf8,Valid,5
syscall,Handle,5
syscall,UnixRights,5
C,GetObjectField,5
text/scanner,Scanner.Peek,5
reflect,Value.IsValid,5
sort,StringSlice.Sort,5
C,GLubyte,5
encoding/xml,Escape,5
os,LookupEnv,5
net/rpc,NewClientWithCodec,5
sync/atomic,CompareAndSwapUint32,5
syscall,Chroot,5
math/big,Int.Rsh,5
runtime,Callers,5
runtime/debug,SetGCPercent,5
expvar,Get,5
time,Time.Unix,5
syscall,Getsockname,5
crypto/elliptic,Unmarshal,5
net/smtp,Dial,5
image,NewGray16,5
syscall,Getfsstat,5
math/big,Int.Int64,5
net,DialUDP,5
net/http/httputil,DumpResponse,5
math/big,Int.SetInt64,5
cmd/compile/internal/gc,Bitno,4
syscall,UtimesNano,4
syscall,Mprotect,4
encoding/binary,PutVarint,4
cmd/link/internal/ld,Elfinit,4
os/signal,Ignore,4
image,NewNRGBA64,4
C,gboolean,4
io,Reader,4
hyperdex/client,NewClient,4
syscall,Getpid,4
syscall,Lstat,4
cmd/internal/obj,Getgoextlinkenabled,4
syscall,DnsRecordListFree,4
bytes,Fields,4
net/http,Dir,4
container/vector,Vector.Len,4
unicode/utf8,DecodeLastRune,4
syscall,ParseSocketControlMessage,4
math/big,Int.SetBytes,4
go/token,Pos.IsValid,4
math/rand,NormFloat64,4
sort,Float64Slice,4
encoding/base64,NewEncoder,4
go/scanner,Scanner.Init,4
math,Asin,4
go/scanner,Scanner.Scan,4
asn1,ObjectIdentifier,4
encoding/json,Compact,4
syscall,ParseUnixRights,4
cmd/compile/internal/gc,Fatalf,4
jvmgo/ch05/instructions/base,Branch,4
crypto/elliptic,P224,4
syscall,DnsQuery,4
syscall,PtraceGetEventMsg,4
sync/atomic,CompareAndSwapPointer,4
appengine/datastore,AllocateIDs,4
crypto/des,NewTripleDESCipher,4
appengine/datastore,Put,4
cmd/internal/obj,Addr.errorf,4
text/scanner,Scanner.Next,4
hash/fnv,New64,4
runtime/internal/atomic,Xchg,4
io,Writer.WriteHeader,4
C,dReal,4
unicode,SimpleFold,4
C,GLbyte,4
syscall,Seek,4
appengine,IsDevAppServer,4
syscall,Geteuid,4
net,InterfaceByIndex,4
bytes,Buffer.WriteTo,4
fmt,Scan,4
go/parser,ParseDir,4
encoding/gob,RegisterName,4
crypto,Hash.New,4
regexp,FindStringSubmatch,4
debug/macho,NewFile,4
util,SendHeaders,4
syscall,MustLoadDLL,4
net/url,User,4
jarvis/log,Trace,4
cmd/internal/obj,Addrel,4
encoding/csv,NewWriter,4
mime,FormatMediaType,4
crypto/x509,ParsePKIXPublicKey,4
utf8,RuneStart,4
net/url,URL.Query,4
hash/crc32,ChecksumIEEE,4
storage,SubscriptionExists,4
syscall,Socketpair,4
net/http/pprof,Handler,4
encoding/binary,ByteOrder.Uint64,4
syscall,Getenv,4
syscall,GetAdaptersInfo,4
crypto/x509,ParseECPrivateKey,4
net,Conn.Assert,4
C,GLbitfield,4
math,Modf,4
time,ForceZipFileForTesting,4
os,Errno,4
text/template/parse,Parse,4
appengine/datastore,NewQuery,4
reflect,Value.Call,4
crypto/ecdsa,Sign,4
go/ast,NewCommentMap,4
syscall,Uname,4
C,GoStringN,4
clive/cmd,UnixIO,4
context,Background,4
cmd/internal/obj,Boffset,4
math/big,Int.SetString,4
cmd/internal/obj,Bool2int,4
cmd/compile/internal/gc,Samereg,4
go/build,ImportDir,4
cmd/link/internal/ld,Rnd,4
syscall,ParseRoutingMessage,4
syscall,Wstat,4
C,GetExceptionInfo,4
C,DestroyExceptionInfo,4
os,Getpagesize,4
os,Getppid,4
net/smtp,PlainAuth,4
regexp,MustCompilePOSIX,4
appengine/datastore,NewKey,4
cmd/link/internal/ld,Adddynsym,4
C,GIntBig,4
syscall,Fstat,4
flag,Int64Var,4
cmd/link/internal/ld,Codeblk,3
C,glGenBuffers,3
strconv,Btoui64,3
hacktunnel/config,C,3
crypto/x509,ParseCertificateRequest,3
utf16,Decode,3
hash/crc32,NewIEEE,3
jarvis/util,HttpGet,3
cmd/internal/pprof/symbolizer,Symbolize,3
cmd/internal/pprof/symbolz,Symbolize,3
cmd/compile/internal/gc,Linksym,3
cmd/compile/internal/gc,Clearp,3
flag,VisitAll,3
syscall,Sync,3
flag,Uint64,3
net/http,Server.ListenAndServeTLS,3
C,unsigned,3
http,ParseURL,3
log/syslog,Priority,3
syscall,Chown,3
sync/atomic,CompareAndSwapInt64,3
encoding/binary,ReadUvarint,3
bytes,TrimLeft,3
net,IPMask,3
net/http/httptest,Server.Start,3
runtime,RaceReadRange,3
syscall,Sysinfo,3
C,DWORD,3
clive/zx/fstest,MkTree,3
go/ast,NewScope,3
net,InterfaceAddrs,3
compress/zlib,NewWriter,3
database/sql,Register,3
path/filepath,VolumeName,3
crypto/cipher,NewCBCDecrypter,3
image/png,Decode,3
cmd/link/internal/ld,Asmelfsym,3
C,waveOutUnprepareHeader,3
net/http,Client.PostForm,3
unicode,IsNumber,3
C,strlen,3
image,Pt,3
cmd/compile/internal/gc,Gvardef,3
syscall,Fwstat,3
bytes,Count,3
url,Parse,3
math,Mod,3
html/template,HTMLEscapeString,3
reflect,Value.IsNil,3
crypto/x509,ParseCertificates,3
reflect,Value.Kind,3
go/format,Node,3
net,Conn.SetDeadline,3
crypto/tls,DialWithDialer,3
errors,Len,3
net,Pipe,3
cmd/internal/obj,Bseek,3
syscall,ForkExec,3
cmd/link/internal/ld,DynlinkingGo,3
net/http/httptest,Server.Close,3
encoding/binary,Varint,3
hash/crc32,MakeTable,3
C,glDeleteBuffers,3
cmd/link/internal/ld,Be32,3
cmd/compile/internal/gc,Agenr,3
crypto/rsa,VerifyPKCS1v15,3
