FQN,Member,Type,occurrences
java.lang.Object,getClinicalContact,method,336
java.lang.Double,longBitsToDouble,method,335
java.util.List,hashCode,method,334
java.lang.Long,longValue,method,333
java.io.StringWriter,write,method,331
java.util.LinkedHashMap,get,method,330
java.lang.Double,y,method,327
java.net.URI,getScheme,method,327
java.lang.Thread,interrupted,method,326
java.io.ObjectInput,readObject,method,326
java.util.Optional,ofNullable,method,325
java.util.regex.Matcher,start,method,323
java.lang.String,getName,method,323
java.nio.ByteBuffer,allocateDirect,method,323
java.lang.Byte,valueOf,method,323
java.nio.ByteOrder,LITTLE_ENDIAN,variable,323
java.util.SortedSet,add,method,323
java.util.HashMap,clear,method,322
java.lang.Float,N,variable,319
java.lang.Class,getMethods,method,318
java.lang.Number,intValue,method,317
java.sql.ResultSet,getBigDecimal,method,315
java.io.File,list,method,315
java.nio.ByteBuffer,putShort,method,314
java.lang.System,loadLibrary,method,313
java.net.Socket,getOutputStream,method,313
java.util.HashMap,entrySet,method,312
java.nio.file.Path,toFile,method,312
java.lang.Class,getField,method,312
java.io.DataOutputStream,writeByte,method,312
java.io.ObjectOutput,writeObject,method,312
java.nio.ByteBuffer,getShort,method,309
java.lang.Long,TYPE,variable,309
java.util.concurrent.ExecutorService,execute,method,309
java.io.InputStream,available,method,308
java.lang.Class,getCanonicalName,method,308
javafx.beans.property.IntegerProperty,set,method,307
java.io.FileNotFoundException,printStackTrace,method,307
java.util.concurrent.atomic.AtomicLong,incrementAndGet,method,306
java.util.ListIterator,previous,method,305
java.lang.IllegalAccessException,printStackTrace,method,305
java.util.zip.ZipEntry,getName,method,305
java.util.LinkedList,get,method,304
java.text.DateFormat,parse,method,303
java.util.ArrayList,set,method,300
java.lang.reflect.Array,getLength,method,299
java.lang.AssertionError,getMessage,method,299
java.io.Writer,append,method,298
java.lang.Class,getComponentType,method,298
java.lang.Double,TYPE,variable,298
java.beans.PropertyChangeEvent,getNewValue,method,297
java.lang.Boolean,TYPE,variable,297
java.net.Socket,getInputStream,method,296
java.util.concurrent.ExecutorService,shutdown,method,295
java.io.File,getParent,method,295
java.lang.Byte,MAX_VALUE,variable,295
java.lang.Class,getDeclaredFields,method,294
java.io.FileWriter,close,method,294
java.io.Writer,close,method,294
java.nio.ByteBuffer,order,method,294
java.lang.Class,isInterface,method,294
java.util.Collection,toArray,method,293
java.lang.StringBuilder,charAt,method,293
java.math.BigInteger,equals,method,292
java.io.Reader,read,method,292
java.net.URL,getPath,method,291
java.util.regex.Matcher,end,method,291
java.util.Dictionary,get,method,290
java.net.URLDecoder,decode,method,287
java.util.Hashtable,containsKey,method,287
