fqn,member,type,total
web.HTMLWriter,write,method,67
org.apache.hadoop.hbase.client.coprocessor.Batch,C,variable,67
org.eclipse.swt.layout.GridData,HORIZONTAL_ALIGN_FILL,variable,67
org.semanticweb.owlapi.model.OWLDataFactory,getOWLClass,method,67
javax.lang.model.element.Element,getAnnotation,method,67
com.cattong.commons.util.StringUtil,isEmpty,method,67
org.apache.xmpbox.type.Cardinality,S,variable,67
com.google.gson.JsonObject,toString,method,67
com.google.devtools.build.lib.util.Preconditions,checkState,method,67
java.lang.String,separator,method,67
android.widget.ListAdapter,getCount,method,67
java.beans.PropertyChangeSupport,addPropertyChangeListener,method,67
javax.swing.GroupLayout.Alignment,LEADING,variable,67
org.exist.xquery.XQueryContext,getProfiler,method,67
org.springframework.http.HttpMethod,POST,variable,67
java.lang.Integer,toBinaryString,method,67
javafx.scene.paint.Color,BLACK,variable,67
hu.openig.model.Planet,morale,method,67
org.projectfloodlight.openflow.types.DatapathId,of,method,67
javax.servlet.http.HttpServletRequest,getHeaders,method,67
lucee.runtime.PageContext,getConfig,method,67
org.bukkit.Location,getBlockX,method,67
org.apache.ibatis.session.SqlSession,getMapper,method,67
java.net.URI,getQuery,method,67
dr.evolution.tree.NodeRef,getNumber,method,67
org.springframework.util.CollectionUtils,isEmpty,method,67
org.springsource.loaded.ReloadableType,loadNewVersion,method,67
org.telegram.tgnet.TLRPC,U,variable,67
edu.stanford.nlp.ling.CoreAnnotations,A,variable,67
jsprit.core.problem.VehicleRoutingProblem,B,variable,67
org.eclipse.swt.SWT,DIALOG_TRIM,variable,67
com.pivotal.gemfirexd.internal.iapi.services.compiler.MethodBuilder,push,method,67
com.dotmarketing.util.Logger,warn,method,67
org.bson.Document,put,method,67
com.unboundid.ldap.sdk.ResultCode,DECODING_ERROR,variable,67
org.eclipse.jetty.server.Server,setHandler,method,67
org.telegram.messenger.DispatchQueue,postRunnable,method,67
android.text.InputType,TYPE_CLASS_TEXT,variable,67
java.lang.reflect.Constructor,getDeclaringClass,method,67
net.ontopia.topicmaps.core.TopicMapBuilderIF,makeTopic,method,67
java.io.ByteArrayInputStream,close,method,67
org.projectfloodlight.openflow.protocol.OFVersion,OF_,variable,67
net.roboconf.core.model.beans.Instance.InstanceStatus,DEPLOYED_STARTED,variable,67
com.laytonsmith.core.Static,A,variable,67
javax.servlet.http.HttpSession,getId,method,67
org.apache.cassandra.io.sstable.format.SSTableReader,descriptor,method,67
javax.ws.rs.core.UriBuilder,fromUri,method,67
com.dotmarketing.business.APILocator,getFolderAPI,method,67
ims.core.vo.PersonAddress,getLine,method,67
com.xinqihd.sns.gameserver.battle.Room.UserInfo,getUserSessionKey,method,67
android.widget.GridView,setOnItemClickListener,method,67
org.eclipse.persistence.testing.framework.wdf.JPAEnvironment,getEntityManager,method,67
org.apache.commons.configuration.Configuration,getString,method,67
android.graphics.Point,set,method,67
java.util.LinkedList,contains,method,67
com.netflix.config.ConfigurationManager,getConfigInstance,method,67
com.google.common.base.Joiner,join,method,67
java.io.File,entries,method,67
java.lang.reflect.Field,getDeclaringClass,method,67
java.util.SortedMap,size,method,67
org.apache.cassandra.utils.Pair,left,method,67
omr.sheet.Scale,F,variable,67
javax.swing.text.JTextComponent,getCaretPosition,method,67
java.lang.Thread,S,variable,66
android.widget.ListView,getAdapter,method,66
javax.swing.UIManager,setLookAndFeel,method,66
java.util.Calendar,SUNDAY,variable,66
javax.swing.JTextField,setToolTipText,method,66
org.springframework.http.HttpStatus,NOT_FOUND,variable,66
com.google.protobuf.UnittestLite.TestAllTypesLite,N,variable,66
edu.caltech.ipac.util.StringUtils,isEmpty,method,66
javax.lang.model.element.VariableElement,asType,method,66
org.jcryptool.core.logging.utils.LogUtil,logError,method,66
com.google.common.base.Strings,emptyToNull,method,66
android.app.ActionBar,T,variable,66
org.olat.core.gui.translator.Translator,translate,method,66
com.intellij.openapi.editor.Document,getLineStartOffset,method,66
java.util.concurrent.ConcurrentHashMap,size,method,66
de.Keyle.MyPet.api.entity.MyPet,getOwner,method,66
htsjdk.samtools.util.CloserUtil,close,method,66
org.eclipse.core.resources.IResource,FILE,variable,66
android.app.ProgressDialog,setProgressStyle,method,66
com.pivotal.gemfirexd.internal.iapi.sql.dictionary.ColumnDescriptor,columnDefault,method,66
org.jboss.netty.handler.codec.http.HttpResponse,setHeader,method,66
org.jboss.netty.buffer.ChannelBuffer,readBytes,method,66
org.apache.hadoop.hbase.io.ImmutableBytesWritable,get,method,66
org.seasar.doma.message.Message,DOMA,variable,66
net.vidageek.mirror.provider.ReflectionProvider,getClassReflectionProvider,method,66
io.cloudslang.lang.compiler.SlangSource,fromFile,method,66
org.apache.commons.cli.CommandLineParser,parse,method,66
android.view.View,getResources,method,66
java.util.concurrent.atomic.AtomicReferenceArray,length,method,66
org.zstack.core.db.DatabaseFacade,createQuery,method,66
br.com.vicenteneto.api.jenkins.util.ConfigurationUtil,getConfiguration,method,66
javax.sound.sampled.AudioFormat,getChannels,method,66
com.cattong.commons.LibResultCode,API_UNSUPPORTED,variable,66
javax.swing.Action,SMALL_ICON,variable,66
org.apache.http.HttpEntity,getContentType,method,66
com.twitter.distributedlog.util.FutureUtils,result,method,66
java.lang.reflect.Modifier,FINAL,variable,66
org.apache.ignite.IgniteCache,isLocalLocked,method,66
com.smarthome.emulator.design.JNumberTextField,setEnabled,method,66
tyrant.mikera.engine.Lib,add,method,66
net.sf.json.JSONObject,getString,method,66
android.view.View,getWindowToken,method,66
org.springframework.jdbc.core.JdbcTemplate,update,method,66
java.lang.Math,hypot,method,66
org.eclipse.jdt.core.compiler.IProblem,I,variable,66
net.bytebuddy.description.method.MethodDescription,asSignatureToken,method,66
javax.crypto.SecretKey,getEncoded,method,66
com.caucho.quercus.env.Env,createString,method,66
org.jboss.netty.buffer.ChannelBuffer,writeInt,method,66
com.stratelia.webactiv.util.DBUtil,close,method,66
edu.cmu.tetrad.util.TetradLogger,getInstance,method,66
org.xml.sax.SAXParseException,getMessage,method,66
java.net.NetworkInterface,getNetworkInterfaces,method,66
java.lang.Object,success,method,66
org.elasticsearch.common.settings.Settings,EMPTY,variable,66
android.app.ProgressDialog,setTitle,method,66
org.apache.pig.data.DataType,CHARARRAY,variable,66
com.intellij.openapi.editor.colors.EditorColorsManager,getInstance,method,66
android.os.Handler,removeCallbacksAndMessages,method,66
org.xml.sax.XMLReader,setContentHandler,method,66
javax.servlet.http.HttpServletRequest,getInputStream,method,66
org.apache.ibatis.logging.Log,isDebugEnabled,method,66
org.tanaguru.entity.audit.TestSolution,PASSED,variable,66
org.springframework.mock.web.MockHttpServletResponse,getContentAsString,method,66
java.beans.PropertyDescriptor,getPropertyType,method,66
ninja.Results,redirect,method,66
ims.core.vo.TaxonomyMap,getTaxonomyCode,method,66
android.app.Activity,RESULT_CANCELED,variable,66
net.sf.json.JSONObject,fromObject,method,66
android.animation.AnimatorSet,setDuration,method,66
com.gemstone.gemfire.internal.offheap.UnsafeMemoryChunk,getUnsafeWrapper,method,66
java.io.FileReader,close,method,66
tigase.server.Packet,getStanzaFrom,method,66
net.heartsome.cat.ts.ui.qa.resource.Messages,getString,method,66
javax.crypto.Mac,getInstance,method,66
org.mockito.BDDMockito,given,method,66
com.rapidminer.example.Example,getValue,method,66
android.view.SurfaceView,getHolder,method,66
org.mybatis.generator.api.dom.xml.XmlElement,addAttribute,method,66
net.minecraft.client.model.ModelRenderer,setTextureSize,method,66
com.facebook.presto.metadata.Signature,bindTypeParameters,method,66
org.intermine.xml.full.Item,setAttribute,method,66
javax.swing.JComboBox,setEnabled,method,66
java.sql.Connection,getAutoCommit,method,66
java.util.concurrent.ConcurrentHashMap,values,method,66
javax.servlet.ServletContext,getAttribute,method,66
javax.transaction.xa.XAResource,TMSUCCESS,variable,65
org.springframework.test.util.ReflectionTestUtils,setField,method,65
org.bukkit.inventory.Inventory,setItem,method,65
com.badlogic.gdx.tools.texturepacker.TexturePacker.Rect,score,method,65
java.lang.SecurityException,getMessage,method,65
android.os.Parcel,writeDouble,method,65
com.intellij.lang.ASTNode,getTreeParent,method,65
org.xml.sax.Attributes,getQName,method,65
org.eclipse.core.runtime.IPath,segmentCount,method,65
javax.swing.JButton,setVisible,method,65
org.objectweb.asm.Opcodes,INVOKESTATIC,variable,65
org.junit.runners.MethodSorters,NAME_ASCENDING,variable,65
org.bouncycastle.util.Strings,lineSeparator,method,65
com.intellij.openapi.editor.Document,getTextLength,method,65
org.auraframework.test.source.StringSourceLoader,DEFAULT_CUSTOM_NAMESPACE,variable,65
java.util.concurrent.locks.ReentrantLock,lockInterruptibly,method,65
javax.xml.stream.XMLEventWriter,add,method,65
org.kie.internal.builder.KnowledgeBuilder,add,method,65
org.springframework.jdbc.core.JdbcTemplate,queryForList,method,65
org.olat.core.gui.components.form.flexible.impl.elements.table.FlexiTableColumnModel,addFlexiColumnModel,method,65
java.lang.reflect.Type,getActualTypeArguments,method,65
org.deviceconnect.message.DConnectMessage,RESULT_OK,variable,65
jmri.SensorManager,getByUserName,method,65
javax.jms.Session,SESSION_TRANSACTED,variable,65
akka.actor.ActorRef,tell,method,65
io.netty.channel.socket.SocketChannel,pipeline,method,65
javax.servlet.http.Cookie,setMaxAge,method,65
org.eclipse.persistence.testing.models.jpa.fieldaccess.advanced.Employee,getId,method,65
android.media.browse.MediaBrowser,M,variable,65
com.tectonica.jonix.JPU,getContentAsString,method,65
android.app.AlertDialog,dismiss,method,65
javax.jcr.PropertyType,STRING,variable,65
org.json.JSONWriter,object,method,65
org.aspectj.lang.ProceedingJoinPoint,proceed,method,65
java.lang.String,diffs,method,65
java.io.RandomAccessFile,readFully,method,65
com.google.gwt.core.client.JsArray,get,method,65
java.io.File,getInputStream,method,65
org.appcelerator.kroll.KrollDict,put,method,65
java.util.GregorianCalendar,add,method,65
org.esa.snap.core.datamodel.Product,getSceneRasterHeight,method,65
com.greenpepper.util.Tables,at,method,65
com.badlogic.gdx.graphics.Color,WHITE,variable,65
jsky.science.Time,getValue,method,65
javax.naming.directory.Attributes,put,method,65
org.biojava.nbio.core.sequence.compound.AminoAcidCompoundSet,getCompoundForString,method,65
org.apache.camel.util.ObjectHelper,notNull,method,65
android.text.Spanned,SPAN_EXCLUSIVE_EXCLUSIVE,variable,65
org.joda.time.DateTime,toDate,method,65
com.codahale.metrics.MetricRegistry,meter,method,65
org.apache.tez.dag.api.event.VertexState,CONFIGURED,variable,65
com.eucalyptus.cloudformation.util.MessageHelper,createMessage,method,65
javax.swing.text.Segment,offset,method,65
com.intellij.util.messages.MessageBusConnection,subscribe,method,65
info.novatec.testit.livingdoc.util.Tables,at,method,65
gnu.testlet.TestHarness,check,method,65
org.ovirt.engine.core.utils.ovf.xml.XmlTextWriter,writeRaw,method,65
com.watabou.utils.Bundle,put,method,65
ch.njol.skript.lang.Expression,getSingle,method,65
java.util.Collections,list,method,65
org.apache.hadoop.fs.FileStatus,getModificationTime,method,65
com.eucalyptus.entities.TransactionResource,commit,method,65
com.intellij.openapi.extensions.ExtensionPointName,create,method,65
android.os.Handler,hasMessages,method,65
com.google.openrtb.OpenRtb,B,variable,65
javax.swing.Timer,start,method,65
com.google.gson.stream.JsonWriter,value,method,65
org.openqa.selenium.WebElement,findElements,method,65
java.sql.Statement,getResultSet,method,65
org.apache.hyracks.dataflow.common.data.marshalling.IntegerSerializerDeserializer,INSTANCE,variable,65
android.view.View,setTranslationY,method,65
java.text.NumberFormat,setMaximumFractionDigits,method,65
java.lang.reflect.Field,setInt,method,65
com.gitblit.utils.StringUtils,isEmpty,method,65
org.rssowl.core.persist.INews,S,variable,65
java.lang.Math,ulp,method,65
org.eclipse.jgit.lib.Ref,getName,method,65
org.bouncycastle.util.Integers,valueOf,method,65
com.intellij.openapi.util.io.FileUtil,toSystemDependentName,method,65
org.eclipse.jface.text.Document,get,method,65
com.sun.squawk.util.Assert,that,method,65
android.graphics.Paint,setDither,method,65
org.eclipse.core.runtime.jobs.Job,schedule,method,65
net.nikr.eve.jeveasset.Program,BUTTONS_HEIGHT,variable,65
net.heartsome.license.resource.Messages,getString,method,65
org.openrdf.model.Statement,getObject,method,65
java.awt.geom.GeneralPath,moveTo,method,65
javax.lang.model.element.ExecutableElement,getReturnType,method,65
javax.swing.table.TableModel,getValueAt,method,65
java.util.stream.Stream,collect,method,65
android.widget.TextView,setTextAppearance,method,65
com.streamsets.pipeline.api.ConfigDef,T,variable,65
com.thoughtworks.xstream.XStream,toXML,method,65
org.chocosolver.solver.variables.ranges.IntIterableSet,setOffset,method,65
com.dotmarketing.common.db.DotConnect,executeStatement,method,65
android.graphics.Matrix,setScale,method,65
com.intellij.ui.Gray,_,method,65
javax.crypto.KeyGenerator,generateKey,method,65
java.util.Collections,max,method,65
javax.faces.context.FacesContext,addMessage,method,65
org.jsoup.nodes.Element,child,method,65
org.alfresco.model.ContentModel,TYPE_FOLDER,variable,65
com.google.common.collect.testing.features.MapFeature,R,variable,64
org.rssowl.core.persist.dao.IPreferenceDAO,load,method,64
android.view.Menu,FIRST,variable,64
com.intellij.ide.DataManager,getInstance,method,64
com.redhat.ceylon.compiler.typechecker.tree.Tree,F,variable,64
org.apache.activemq.artemis.api.core.Message,HDR_GROUP_ID,variable,64
com.intellij.uiDesigner.core.GridConstraints,SIZEPOLICY_WANT_GROW,variable,64
org.eclipse.swt.widgets.FileDialog,open,method,64
java.math.BigDecimal,divide,method,64
java.nio.channels.FileChannel,M,variable,64
com.google.common.collect.testing.features.CollectionSize,R,variable,64
javax.servlet.jsp.JspWriter,println,method,64
org.eclipse.jdt.internal.ui.JavaPlugin,log,method,64
java.math.BigDecimal,equals,method,64
org.alfresco.service.cmr.repository.NodeService,hasAspect,method,64
java.util.concurrent.ScheduledExecutorService,shutdownNow,method,64
java.awt.image.Raster,getMinY,method,64
org.bukkit.ChatColor,AQUA,variable,64
org.spongepowered.common.data.util.DataQueries,X_POS,variable,64
jmri.InstanceManager,sensorManagerInstance,method,64
org.eclipse.core.runtime.Status,CANCEL_STATUS,variable,64
com.jaeksoft.searchlib.util.ReadWriteLock,r,method,64
de.greenrobot.daogenerator.Entity,addStringProperty,method,64
org.telegram.SQLite.SQLiteCursor,next,method,64
net.geocentral.geometria.util.GDictionary,get,method,64
com.google.gwt.event.shared.GwtEvent,T,variable,64
java.io.InputStream,markSupported,method,64
java.lang.Object,getSpecialty,method,64
org.apache.ignite.testframework.GridTestUtils,assertThrows,method,64
org.apache.http.client.methods.HttpPost,addHeader,method,64
java.util.jar.JarOutputStream,putNextEntry,method,64
java.lang.Object,setCurrentStatus,method,64
net.minecraft.client.model.ModelRenderer,mirror,method,64
java.awt.image.Raster,getWidth,method,64
org.opencb.biodata.models.alignment.Alignment,A,variable,64
java.lang.String,subSequence,method,64
javafx.scene.chart.XYChart,D,variable,64
org.eclipse.jface.text.rules.Token,WHITESPACE,variable,64
java.util.zip.ZipOutputStream,write,method,64
com.gumplee.biu.forest.common.StreamContext,V,variable,64
net.minecraft.entity.player.EntityPlayer,addChatMessage,method,64
android.widget.LinearLayout,HORIZONTAL,variable,64
android.graphics.Color,BLUE,variable,64
java.util.ListIterator,set,method,64
org.apache.hadoop.hbase.TableName,valueOf,method,64
net.ssehub.easy.reasoning.core.reasoner.ReasoningOperation,VALIDATION,variable,64
org.openrdf.model.URI,equals,method,64
com.intellij.codeInspection.ProblemDescriptor,getPsiElement,method,64
com.google.common.base.Objects,firstNonNull,method,64
org.opencv.core.Mat,nativeObj,method,64
org.json.simple.JSONArray,add,method,64
org.telegram.SQLite.SQLiteCursor,dispose,method,64
com.caucho.quercus.env.Env,stub,method,64
android.content.SharedPreferences.Editor,putBoolean,method,64
org.spongepowered.common.data.util.DataQueries,Y_POS,variable,64
javax.ws.rs.HttpMethod,GET,variable,64
com.intellij.util.containers.MultiMap,putValue,method,64
java.io.FileOutputStream,getChannel,method,64
android.view.KeyEvent,KEYCODE_,variable,64
org.apache.derbyTesting.functionTests.util.Formatters,repeatChar,method,64
javax.persistence.criteria.CriteriaQuery,where,method,64
javax.script.ScriptContext,ENGINE_SCOPE,variable,64
org.eclipse.core.runtime.IProgressMonitor,subTask,method,64
android.view.View,requestFocus,method,64
com.twister.Item,getSubItem,method,64
java.io.DataOutputStream,writeBoolean,method,64
javax.jcr.Session,nodeExists,method,64
org.eclipse.emf.ecore.EcorePackage,getEBigDecimal,method,64
com.apple.dnssd.DNSSD,queryRecord,method,64
org.antlr.runtime.tree.TreeAdaptor,addChild,method,64
org.apache.maven.artifact.Artifact,getArtifactId,method,64
org.dbflute.helper.message.ExceptionMessageBuilder,addElement,method,64
org.opencms.file.CmsResource,getResourceId,method,64
org.elasticsearch.Version,CURRENT,variable,64
com.stratelia.webactiv.util.exception.SilverpeasException,ERROR,variable,64
com.facebook.presto.spi.type.BigintType,BIGINT,variable,64
com.google.javascript.rhino.Node,getLastChild,method,64
net.minecraft.entity.player.EntityPlayer,isSneaking,method,64
java.net.HttpURLConnection,setUseCaches,method,64
org.telegram.android.MessageObject,isOut,method,64
com.rapidminer.gui.RapidMinerGUI,getMainFrame,method,64
org.hibernate.Criteria,uniqueResult,method,64
com.sismics.util.filter.TokenBasedSecurityFilter,COOKIE_NAME,variable,64
it.unibz.inf.ontop.owlrefplatform.core.QuestConstants,VIRTUAL,variable,64
org.bouncycastle.crypto.Digest,doFinal,method,64
com.github.lbroudoux.dsl.eip.parts.EipViewsRepository,R,variable,64
org.alfresco.service.cmr.model.FileFolderService,create,method,64
org.spongepowered.api.text.format.TextColors,DARK_RED,variable,64
com.sun.istack.internal.localization.Localizer,localize,method,64
android.view.ActionMode,finish,method,64
com.gemstone.gemfire.cache.Region,size,method,64
java.util.List,retainAll,method,64
com.gemstone.gemfire.StatisticDescriptor,getId,method,64
org.apache.zookeeper.WatchedEvent,getType,method,64
java.util.Vector,set,method,64
com.gemstone.gemfire.cache.Region,toString,method,64
org.eclipse.jdt.internal.ui.JavaPlugin,getDefault,method,63
android.content.Context,WIFI_SERVICE,variable,63
org.apache.derby.shared.common.sanity.SanityManager,THROWASSERT,variable,63
org.bukkit.Location,getBlock,method,63
java.time.format.DateTimeFormatter,ofPattern,method,63
javax.ws.rs.core.Response.Status,INTERNAL_SERVER_ERROR,variable,63
java.util.SortedMap,keySet,method,63
net.blerf.ftl.ui.FieldEditorPanel,addRow,method,63
com.sun.jersey.api.client.WebResource,path,method,63
org.eclipse.jgit.lib.Ref,getObjectId,method,63
android.view.View,getBackground,method,63
android.widget.ToggleButton,isChecked,method,63
org.eclipse.che.api.vfs.VirtualFile,getContentAsString,method,63
com.ibm.json.java.JSONObject,get,method,63
java.lang.invoke.MethodHandles,L,variable,63
com.esofthead.mycollab.eventmanager.EventBusFactory,getInstance,method,63
javax.swing.JTextField,setEditable,method,63
net.blerf.ftl.ui.FieldEditorPanel,C,variable,63
android.hardware.Camera,setParameters,method,63
com.voiceblue.phone.utils.PreferencesWrapper,setCodecPriority,method,63
java.sql.CallableStatement,execute,method,63
com.gemstone.gemfire.cache.CacheFactory,getAnyInstance,method,63
jmri.util.JUnitAppender,assertErrorMessage,method,63
ims.framework.controls.DynamicGrid,getColumns,method,63
org.apache.ignite.plugin.extensions.communication.MessageWriter,incrementState,method,63
javax.swing.JTabbedPane,addTab,method,63
org.xwalk.core.XWalkView,load,method,63
java.nio.charset.CodingErrorAction,REPLACE,variable,63
com.intellij.lang.LangBundle,message,method,63
org.tinylog.writers.JdbcWriter.Value,MESSAGE,variable,63
ims.assessment.vo.PatientAssessmentDataVo,getGraphicFindings,method,63
org.elasticsearch.search.aggregations.bucket.range.Range.Bucket,getKey,method,63
org.telegram.SQLite.SQLiteDatabase,queryFinalized,method,63
com.fasterxml.jackson.databind.ObjectMapper,writeValueAsBytes,method,63
javax.swing.SwingConstants,LEFT,variable,63
com.hearthsim.model.PlayerModel,getNumMinions,method,63
java.util.concurrent.FutureTask,get,method,63
javax.jcr.Session,getRootNode,method,63
com.google.gerrit.reviewdb.client.Branch,N,variable,63
java.lang.String,getType,method,63
javax.swing.ListSelectionModel,SINGLE_SELECTION,variable,63
com.orientechnologies.orient.core.Orient,instance,method,63
org.jboss.netty.buffer.ChannelBuffer,readByte,method,63
com.sun.istack.internal.localization.LocalizableMessageFactory,getMessage,method,63
android.widget.SeekBar,O,variable,63
java.awt.image.Raster,getMinX,method,63
play.Logger,error,method,63
com.google.common.collect.Sets,intersection,method,63
com.google.common.util.concurrent.SettableFuture,setException,method,63
org.eclipse.ui.IWorkbenchWindow,getActivePage,method,63
org.eclipse.core.runtime.IPath,toOSString,method,63
jebl.evolution.graphs.Node,getAttribute,method,63
net.sourceforge.seqware.common.util.Log,info,method,63
android.graphics.Color,GREEN,variable,63
java.util.Vector,removeElementAt,method,63
org.uberfire.ext.wires.core.grids.client.model.GridData,S,variable,63
com.pivotal.gemfirexd.TestUtil,getNetConnection,method,63
org.eclipse.jetty.server.Server,start,method,63
android.widget.CheckBox,setOnCheckedChangeListener,method,63
com.alibaba.fastjson.JSON,toJSONString,method,63
android.text.TextUtils,T,variable,63
java.util.concurrent.CompletableFuture,get,method,63
android.widget.ImageView,getContext,method,63
java.util.SortedSet,last,method,63
com.crashlytics.android.Crashlytics,logException,method,63
org.apache.hadoop.mapreduce.TaskType,REDUCE,variable,63
java.text.DateFormat,MEDIUM,variable,63
com.redhat.ceylon.model.typechecker.model.Parameter,getModel,method,63
com.google.gwt.user.client.Command,execute,method,63
android.text.Editable,toString,method,63
com.hearthsim.model.PlayerModel,getHand,method,63
org.spongepowered.api.command.CommandResult,empty,method,63
nars.tuprolog.SolveInfo,getTerm,method,63
org.elasticsearch.search.aggregations.bucket.range.Range.Bucket,getFromAsString,method,63
javax.ws.rs.core.MultivaluedMap,add,method,63
ninja.Router,getReverseRoute,method,63
org.unitime.timetable.gwt.client.widgets.UniTimeWidget,getWidget,method,63
javax.swing.JScrollPane,setPreferredSize,method,63
org.apache.hadoop.hbase.HBaseConfiguration,create,method,63
com.codahale.metrics.Timer,C,variable,63
cz.cvut.kbss.jopa.environment.OWLClassA,getUri,method,63
org.apache.pdfbox.cos.COSDictionary,setItem,method,63
com.google.gson.GsonBuilder,create,method,63
org.eclipse.persistence.internal.sessions.AbstractSession,getPlatform,method,63
com.redhat.rhn.common.db.datasource.ModeFactory,getMode,method,63
org.elasticsearch.search.aggregations.bucket.range.Range.Bucket,getToAsString,method,63
org.oscarehr.common.dao.utils.EntityDataGenerator,generateTestDataForModelClass,method,63
de.opitzconsulting.orcas.orig.diff.TableDiff,mviewLogDiff,method,63
android.animation.ValueAnimator,ofFloat,method,63
android.os.Bundle,keySet,method,63
android.content.Intent,setClassName,method,63
java.lang.Object,getResponsibleHCP,method,63
org.apache.drill.common.types.TypeProtos.MinorType,DECIMAL,variable,63
org.spongepowered.api.text.format.TextColors,GREEN,variable,63
org.joda.time.DateTime,getYear,method,63
javax.swing.JTextArea,setEditable,method,63
org.openrdf.sail.SailConnection,addStatement,method,63
android.text.Layout,A,variable,63
org.eclipse.swt.SWT,RESIZE,variable,63
org.deviceconnect.utils.URIBuilder,toString,method,62
android.view.MenuItem,setEnabled,method,62
org.chromium.content.browser.test.util.CriteriaHelper,pollUiThread,method,62
org.apache.sshd.common.util.ValidateUtils,checkNotNull,method,62
org.apache.thrift.protocol.TTupleProtocol,readStructBegin,method,62
lucee.runtime.type.Struct,set,method,62
com.cburch.logisim.data.Location,getX,method,62
org.apollo.net.codec.game.DataType,SHORT,variable,62
org.springframework.http.client.ClientHttpRequest,execute,method,62
org.bukkit.ChatColor,GRAY,variable,62
com.connectsdk.core.Util,postSuccess,method,62
org.alfresco.util.Pair,getSecond,method,62
android.bluetooth.BluetoothDevice,getAddress,method,62
org.apache.http.client.methods.HttpPost,setHeader,method,62
org.openhab.binding.zwave.internal.protocol.SerialMessage.SerialMessageClass,S,variable,62
org.apache.http.HeaderIterator,hasNext,method,62
org.apache.thrift.protocol.TTupleProtocol,writeFieldStop,method,62
org.apache.http.NameValuePair,getName,method,62
com.google.gerrit.acceptance.PushOneCommit,R,variable,62
org.apache.thrift.protocol.TTupleProtocol,writeStructEnd,method,62
org.eclipse.swt.widgets.Display,sleep,method,62
java.time.temporal.ValueRange,of,method,62
java.util.PriorityQueue,isEmpty,method,62
net.minecraftforge.common.util.ForgeDirection,UP,variable,62
org.mybatis.generator.api.dom.java.Method,addParameter,method,62
java.util.concurrent.ConcurrentLinkedQueue,add,method,62
com.google.gson.JsonArray,add,method,62
play.data.Form,get,method,62
java.beans.PropertyChangeSupport,removePropertyChangeListener,method,62
org.bukkit.entity.Entity,getLocation,method,62
javax.persistence.CascadeType,PERSIST,variable,62
java.time.LocalDate,now,method,62
org.apache.zookeeper.WatchedEvent,getPath,method,62
tools.data.output.MaplePacketLittleEndianWriter,writeInt,method,62
android.graphics.Paint,A,variable,62
org.herac.tuxguitar.song.models.TGVoice,getBeat,method,62
java.util.concurrent.ConcurrentMap,entrySet,method,62
java.nio.ByteBuffer,asFloatBuffer,method,62
java.security.MessageDigest,reset,method,62
java.sql.Types,VARBINARY,variable,62
com.jie.book.work.activity.ReadActivity,findViewById,method,62
org.apache.http.util.EntityUtils,consume,method,62
games.stendhal.server.entity.npc.ConversationStates,IDLE,variable,62
tigase.xml.Element,addChild,method,62
cz.metacentrum.perun.core.api.Attribute,getValue,method,62
org.jfree.chart.plot.PlotOrientation,VERTICAL,variable,62
com.digi.xbee.api.models.OperatingMode,API,variable,62
com.google.gson.stream.JsonReader,nextString,method,62
org.immutables.value.Value,L,variable,62
com.microsoft.rest.ServiceCallback,success,method,62
org.apache.http.impl.client.CloseableHttpClient,close,method,62
java.io.Writer,key,method,62
org.junit.Rule,finish,method,62
org.kie.api.runtime.process.WorkflowProcessInstance,getVariable,method,62
org.apache.hadoop.mapreduce.TaskAttemptContext,getConfiguration,method,62
android.widget.Button,setTextColor,method,62
com.lightcrafts.mediax.jai.RasterAccessor,getScanlineStride,method,62
org.apache.struts.action.DynaActionForm,get,method,62
org.apache.pig.builtin.PigStorage,getLoadCaster,method,62
org.apache.lucene.store.MMapDirectory,open,method,62
org.eclipse.swt.widgets.Shell,setLayout,method,62
org.jruby.runtime.ThreadContext,runtime,method,62
com.intellij.openapi.actionSystem.AnActionEvent,getProject,method,62
javax.swing.text.MutableAttributeSet,addAttribute,method,62
org.apache.pdfbox.cos.COSDictionary,getDictionaryObject,method,62
android.view.View,setTranslationX,method,62
org.apache.thrift.protocol.TTupleProtocol,readFieldBegin,method,62
javax.servlet.http.HttpServletResponse,SC_UNAUTHORIZED,variable,62
javafx.geometry.Pos,CENTER,variable,62
java.math.BigInteger,divide,method,62
org.apache.thrift.protocol.TTupleProtocol,writeStructBegin,method,62
ims.core.vo.Patient,getAddress,method,62
com.evolveum.midpoint.util.logging.TraceManager,getTrace,method,62
net.bhl.cdt.paxelerate.util.output.ExcelExport,addColumnElement,method,62
org.eclipse.persistence.testing.models.jpa.fieldaccess.advanced.Employee,setFirstName,method,62
org.elasticsearch.common.settings.Settings,getAsBoolean,method,62
org.apache.thrift.protocol.TTupleProtocol,readStructEnd,method,62
org.antlr.stringtemplate.StringTemplate,toString,method,62
android.content.res.Resources,getSystem,method,62
android.widget.FrameLayout,setLayoutParams,method,62
org.apache.oozie.service.Services,get,method,62
org.apache.solr.search.QueryParsing,V,variable,62
net.minecraft.client.renderer.Tessellator,startDrawingQuads,method,62
org.jboss.netty.channel.ExceptionEvent,getCause,method,62
dk.brics.tajs.analysis.NativeFunctions,readParameter,method,62
de.wellenvogel.avnav.aislib.messages.binary.BinArray,getVal,method,62
prefuse.action.ActionList,add,method,62
org.boon.datarepo.Repo,query,method,62
com.facebook.presto.spi.predicate.Range,greaterThan,method,62
java.util.TreeMap,values,method,62
