fqn,member,type,total
org.junit.rules.ExpectedException,expect,method,1023
java.util.HashMap,containsKey,method,1023
java.lang.Math,random,method,1023
android.view.ViewGroup,L,variable,1013
android.util.Log,v,method,1011
com.google.common.base.Preconditions,checkState,method,1011
java.lang.Math,floor,method,1005
org.apache.camel.Exchange,getIn,method,1003
javax.servlet.http.HttpServletRequest,getSession,method,1003
org.apache.commons.logging.Log,isDebugEnabled,method,1000
java.util.concurrent.locks.Lock,unlock,method,999
java.lang.String,toString,method,997
java.util.concurrent.atomic.AtomicBoolean,get,method,997
java.util.ArrayList,remove,method,996
java.lang.Double,NEGATIVE_INFINITY,variable,991
java.lang.Object,isIncludeRecord,method,984
java.nio.ByteBuffer,remaining,method,982
java.awt.GridBagConstraints,gridy,method,977
java.lang.Math,ceil,method,976
java.util.ArrayList,indexOf,method,972
android.widget.TextView,setVisibility,method,967
java.util.regex.Matcher,matches,method,965
java.lang.IllegalArgumentException,getMessage,method,965
java.awt.GridBagConstraints,gridx,method,962
java.io.File,isFile,method,959
java.lang.InterruptedException,printStackTrace,method,957
java.util.stream.Collectors,toList,method,952
java.util.Arrays,copyOf,method,946
org.springframework.ui.Model,addAttribute,method,940
java.util.Arrays,sort,method,935
java.sql.Connection,close,method,933
org.apache.hadoop.conf.Configuration,set,method,931
java.sql.ResultSet,close,method,929
java.lang.Thread,join,method,929
java.util.Collection,contains,method,921
android.database.Cursor,getInt,method,920
java.util.Collections,unmodifiableMap,method,919
java.lang.Double,doubleToLongBits,method,918
java.lang.Class,isAssignableFrom,method,915
java.util.Locale,getDefault,method,912
org.apache.pig.data.Tuple,get,method,910
java.util.Vector,elementAt,method,909
java.lang.ThreadLocal,get,method,909
java.util.concurrent.locks.Lock,lock,method,907
java.util.concurrent.atomic.AtomicInteger,incrementAndGet,method,906
com.google.common.base.Optional,isPresent,method,904
java.util.concurrent.atomic.AtomicBoolean,set,method,904
javax.swing.JButton,addActionListener,method,903
java.util.ArrayList,clear,method,903
java.lang.Float,parseFloat,method,903
java.io.OutputStream,close,method,902
android.content.Context,getSystemService,method,897
java.lang.Class,getSimpleName,method,887
com.espertech.esper.client.scopetest.SupportUpdateListener,assertOneGetNewAndReset,method,886
java.util.StringTokenizer,hasMoreTokens,method,881
java.util.Vector,get,method,880
com.rethinkdb.model.Arguments,coerceAndAdd,method,879
android.preference.PreferenceManager,getDefaultSharedPreferences,method,878
java.lang.CharSequence,length,method,878
android.os.Bundle,getString,method,872
java.util.Collection,isEmpty,method,869
javax.servlet.http.HttpServletResponse,setContentType,method,861
android.graphics.Bitmap,getHeight,method,859
org.json.JSONObject,optString,method,855
android.graphics.Bitmap,getWidth,method,851
java.awt.Rectangle,y,method,851
java.awt.Rectangle,x,method,851
java.util.Calendar,YEAR,variable,849
android.widget.Toast,LENGTH_LONG,variable,846
java.net.URI,create,method,845
com.amazonaws.Request,addParameter,method,842
java.util.ArrayList,isEmpty,method,841
java.util.EnumSet,of,method,840
javax.servlet.http.HttpServletRequest,setAttribute,method,838
java.lang.Throwable,getClass,method,835
org.eclipse.swt.SWT,BORDER,variable,834
java.lang.String,matches,method,830
java.lang.Long,MIN_VALUE,variable,824
java.util.Map,putAll,method,818
com.google.common.collect.ImmutableList,copyOf,method,817
java.lang.String,compareTo,method,814
com.orientechnologies.orient.core.record.impl.ODocument,field,method,812
com.google.gson.JsonObject,get,method,807
java.lang.ref.WeakReference,get,method,804
java.awt.Rectangle,width,method,801
javay.util.graph.Graph,setEdge,method,800
java.math.BigDecimal,ZERO,variable,799
java.util.List,stream,method,797
java.awt.Rectangle,height,method,797
android.view.View,getTag,method,796
java.io.File,createTempFile,method,796
org.apache.commons.logging.Log,info,method,794
java.sql.DriverManager,getConnection,method,794
java.nio.file.Path,resolve,method,793
java.lang.Boolean,booleanValue,method,790
net.minecraft.client.Minecraft,getMinecraft,method,789
javax.persistence.EntityManager,createQuery,method,787
javax.swing.JPanel,setLayout,method,786
java.util.List,set,method,782
org.xml.sax.Attributes,getValue,method,782
java.nio.ByteBuffer,array,method,781
java.util.Vector,addElement,method,780
java.util.List,indexOf,method,778
net.minecraft.item.ItemStack,getItem,method,764
java.util.Stack,push,method,763
android.os.Parcel,writeString,method,761
javax.swing.JTextField,getText,method,759
java.lang.Class,getSuperclass,method,759
org.eclipse.swt.widgets.Label,setLayoutData,method,757
java.lang.CharSequence,charAt,method,752
java.lang.Double,isInfinite,method,752
java.util.Calendar,MONTH,variable,751
javax.persistence.EntityManager,persist,method,750
java.nio.charset.StandardCharsets,UTF_,variable,750
java.io.PrintStream,print,method,749
com.google.common.base.Joiner,on,method,746
java.nio.charset.Charset,forName,method,746
org.mockito.ArgumentCaptor,capture,method,743
java.util.Optional,get,method,743
java.lang.reflect.Field,getType,method,742
java.sql.Statement,executeUpdate,method,742
android.content.Intent,getStringExtra,method,741
javax.persistence.EntityManager,find,method,740
java.lang.reflect.Constructor,newInstance,method,740
android.os.Parcel,readString,method,739
java.util.Stack,pop,method,736
ims.framework.utils.Color,D,variable,731
org.eclipse.swt.widgets.Composite,setLayout,method,729
javax.ws.rs.core.Response,S,variable,727
hydra.Log,getLogWriter,method,723
android.os.Bundle,putInt,method,720
org.apache.commons.cli.Options,addOption,method,720
com.intellij.openapi.diagnostic.Logger,getInstance,method,714
android.view.View,setOnClickListener,method,713
org.apache.pig.PigServer,registerQuery,method,712
org.apache.http.HttpResponse,getEntity,method,711
java.lang.StringBuilder,setLength,method,711
java.awt.Graphics,setColor,method,710
org.eclipse.emf.common.notify.Notification,SET,variable,710
android.os.Handler,post,method,709
java.lang.reflect.Field,set,method,708
android.view.MotionEvent,getX,method,708
javax.persistence.Query,getResultList,method,707
android.view.MotionEvent,getY,method,706
com.google.common.base.Strings,isNullOrEmpty,method,705
java.util.Properties,load,method,705
java.util.Calendar,add,method,703
java.nio.ByteBuffer,limit,method,703
com.google.common.base.Optional,of,method,700
java.lang.Object,D,variable,699
android.database.Cursor,moveToFirst,method,695
java.util.logging.Logger,info,method,695
org.hamcrest.MatcherAssert,assertThat,method,693
java.util.ArrayList,contains,method,693
android.widget.EditText,setText,method,691
android.view.View,INVISIBLE,variable,690
java.awt.BorderLayout,CENTER,variable,689
java.util.logging.Logger,fine,method,689
org.springframework.web.bind.annotation.RequestMethod,GET,variable,689
java.sql.PreparedStatement,executeUpdate,method,688
java.lang.Class,isInstance,method,685
java.util.ArrayList,addAll,method,684
org.telegram.android.AndroidUtilities,dp,method,684
java.util.LinkedList,size,method,683
java.util.List,length,method,680
java.util.TimeZone,getTimeZone,method,679
org.mockito.Mockito,times,method,679
android.os.Parcel,readInt,method,678
android.graphics.Rect,left,method,675
org.apache.commons.lang.Validate,notNull,method,674
com.google.common.base.Charsets,UTF_,variable,673
android.view.WindowManager,L,variable,673
ims.framework.enumerations.FormMode,EDIT,variable,671
android.graphics.Rect,top,method,670
android.database.Cursor,getLong,method,669
javax.swing.JOptionPane,ERROR_MESSAGE,variable,666
android.content.SharedPreferences,E,variable,665
org.json.JSONArray,length,method,664
java.sql.Statement,close,method,664
android.database.sqlite.SQLiteDatabase,execSQL,method,663
java.lang.Class,getConstructor,method,663
org.sweble.wikitext.engine.config.WikiConfigImpl,addInterwiki,method,662
android.view.MotionEvent,getAction,method,662
java.lang.reflect.Field,getName,method,662
java.io.File,createNewFile,method,658
java.lang.Object,hashCode,method,656
java.util.logging.Level,FINEST,variable,656
java.util.List,subList,method,655
java.io.FileOutputStream,close,method,654
java.net.URLEncoder,encode,method,653
android.widget.TextView,setTextColor,method,653
javax.persistence.EntityManager,close,method,651
java.lang.Math,exp,method,650
android.widget.LinearLayout,L,variable,650
org.mockito.ArgumentCaptor,getValue,method,648
java.lang.Double,toString,method,648
java.sql.Types,INTEGER,variable,648
com.puppycrawl.tools.checkstyle.DefaultConfiguration,addAttribute,method,648
android.os.Parcel,writeInt,method,647
java.math.BigInteger,ZERO,variable,646
java.util.concurrent.locks.ReentrantLock,unlock,method,641
java.lang.Object,put,method,640
com.espertech.esper.client.scopetest.EPAssertionUtil,assertPropsPerRow,method,638
java.awt.image.BufferedImage,getWidth,method,635
org.testng.Assert,assertNotNull,method,634
org.apache.hadoop.conf.Configuration,get,method,632
org.apache.commons.lang.StringUtils,isBlank,method,631
android.content.Context,getPackageName,method,631
org.assertj.db.api.Assertions,assertThat,method,630
java.text.SimpleDateFormat,parse,method,625
java.net.URL,openConnection,method,625
org.junit.rules.ExpectedException,expectMessage,method,625
org.mockito.Mockito,any,method,625
java.io.File,toString,method,621
java.lang.reflect.Method,getParameterTypes,method,620
android.view.View,setTag,method,619
java.util.Optional,isPresent,method,619
java.math.BigDecimal,valueOf,method,618
java.nio.ByteBuffer,getInt,method,617
cpw.mods.fml.relauncher.Side,CLIENT,variable,616
java.nio.ByteBuffer,putInt,method,615
java.net.InetAddress,getByName,method,615
org.eclipse.swt.widgets.Button,setText,method,614
android.view.View,getLayoutParams,method,613
org.eclipse.swt.layout.FormData,left,method,613
java.lang.Object,getCareContext,method,612
java.io.ObjectOutputStream,writeObject,method,611
ims.framework.enumerations.FormMode,VIEW,variable,611
java.awt.image.BufferedImage,getHeight,method,610
javax.persistence.Query,setParameter,method,610
org.eclipse.swt.widgets.Text,getText,method,609
org.apache.commons.lang.StringUtils,isNotBlank,method,608
org.eclipse.swt.layout.FormData,top,method,607
junit.framework.Assert,fail,method,604
java.io.ObjectInputStream,readObject,method,604
java.util.Calendar,DAY_OF_MONTH,variable,603
org.eclipse.swt.SWT,CENTER,variable,603
java.io.PrintWriter,close,method,602
java.lang.Throwable,getCause,method,601
android.database.Cursor,moveToNext,method,600
java.util.Calendar,MINUTE,variable,598
java.util.Calendar,setTime,method,596
java.lang.Object,get,method,594
javax.swing.JMenu,add,method,593
android.graphics.Bitmap,C,variable,591
ims.configuration.gen.ConfigFlag,UI,variable,591
java.math.BigInteger,ONE,variable,588
java.io.File,deleteOnExit,method,588
javax.ws.rs.core.Response,status,method,586
java.util.Set,toArray,method,585
org.apache.commons.lang.StringUtils,isEmpty,method,584
java.security.AccessController,doPrivileged,method,584
java.awt.Point,x,method,584
java.text.DecimalFormat,format,method,576
java.lang.Object,length,method,576
android.graphics.Point,y,method,576
java.lang.Object,isValidated,method,575
java.util.BitSet,set,method,575
java.util.HashMap,keySet,method,575
android.content.Context,MODE_PRIVATE,variable,573
android.content.Intent,ACTION_VIEW,variable,573
java.awt.GridBagConstraints,fill,method,572
java.io.OutputStream,flush,method,571
org.eclipse.swt.SWT,RIGHT,variable,570
com.fasterxml.jackson.databind.JsonNode,get,method,570
com.sun.star.uno.UnoRuntime,queryInterface,method,570
android.graphics.Paint,setStyle,method,570
android.graphics.Point,x,method,569
java.util.concurrent.ConcurrentMap,get,method,569
java.util.Collections,emptyMap,method,569
org.eclipse.swt.SWT,LEFT,variable,569
android.view.View,getContext,method,568
java.awt.Point,y,method,567
org.json.simple.JSONObject,put,method,564
org.jsoup.nodes.Document,select,method,563
org.json.JSONObject,has,method,563
android.content.Intent,getAction,method,562
org.apache.http.HttpResponse,getStatusLine,method,561
java.awt.GridBagConstraints,weightx,method,561
java.sql.Types,VARCHAR,variable,561
org.apache.commons.io.IOUtils,closeQuietly,method,560
java.sql.Connection,commit,method,560
org.easymock.EasyMock,expect,method,560
org.json.simple.JSONObject,get,method,555
java.util.Collections,emptySet,method,555
java.util.Calendar,HOUR_OF_DAY,variable,555
java.lang.Boolean,toString,method,554
java.util.concurrent.locks.ReentrantLock,lock,method,553
java.lang.System,gc,method,552
java.sql.ResultSet,getLong,method,551
android.view.View,getId,method,551
java.util.Set,clear,method,551
antlr.TokenStreamException,printStackTrace,method,549
antlr.RecognitionException,printStackTrace,method,549
javax.swing.JLabel,setText,method,548
java.util.ListIterator,next,method,548
java.io.File,toURI,method,546
cpw.mods.fml.common.registry.GameRegistry,addRecipe,method,544
org.apache.commons.cli.CommandLine,getOptionValue,method,544
java.util.Arrays,copyOfRange,method,544
org.eclipse.swt.widgets.Text,setText,method,543
java.lang.Thread,interrupt,method,542
java.util.concurrent.atomic.AtomicLong,get,method,539
java.lang.annotation.RetentionPolicy,RUNTIME,variable,538
java.util.Collections,unmodifiableSet,method,538
java.awt.Dimension,width,method,536
org.tanaguru.rules.keystore.HtmlElementStore,A_ELEMENT,variable,535
java.sql.PreparedStatement,close,method,534
android.view.View,setText,method,534
java.util.Random,nextDouble,method,534
net.minecraft.item.ItemStack,stackSize,method,534
javax.persistence.EntityManager,getTransaction,method,533
java.net.URL,openStream,method,532
java.util.concurrent.Future,get,method,530
java.lang.Class,getDeclaredField,method,530
com.fasterxml.jackson.databind.ObjectMapper,readValue,method,530
org.eclipse.swt.widgets.Button,addSelectionListener,method,529
com.google.gson.JsonObject,addProperty,method,529
android.graphics.Rect,right,method,528
org.eclipse.swt.widgets.Button,getSelection,method,528
android.widget.ListView,setAdapter,method,528
java.io.File,lastModified,method,527
java.lang.Object,getVersion,method,526
javax.xml.parsers.DocumentBuilderFactory,newInstance,method,526
android.view.View,getHeight,method,525
java.util.concurrent.atomic.AtomicReference,set,method,524
android.graphics.Rect,bottom,method,524
android.content.Intent,setAction,method,524
org.eclipse.swt.layout.FormData,right,method,522
android.content.Context,getSharedPreferences,method,522
java.lang.System,identityHashCode,method,519
java.lang.Character,isWhitespace,method,518
java.lang.Character,isDigit,method,517
android.content.res.Resources,getString,method,516
com.amazonaws.util.AWSRequestMetrics.Field,R,variable,516
android.graphics.Bitmap,createBitmap,method,511
org.telegram.messenger.AndroidUtilities,dp,method,510
android.widget.ImageView,setImageResource,method,509
java.awt.Dimension,height,method,509
java.awt.Graphics,drawLine,method,508
android.content.res.TypedArray,recycle,method,508
java.util.logging.Logger,isLoggable,method,506
android.view.Menu,findItem,method,505
org.apache.commons.io.IOUtils,toString,method,504
javax.jcr.Node,setProperty,method,503
org.tanaguru.rules.keystore.AttributeStore,HREF_ATTR,variable,503
org.elasticsearch.common.xcontent.XContentBuilder,field,method,502
com.google.inject.Injector,getInstance,method,501
org.tanaguru.entity.audit.TestSolution,NOT_APPLICABLE,variable,501
com.espertech.esper.client.scopetest.SupportUpdateListener,isInvoked,method,500
java.lang.ThreadLocal,set,method,500
com.fasterxml.jackson.databind.node.ObjectNode,put,method,499
com.google.common.collect.ImmutableList,B,variable,499
android.database.Cursor,getCount,method,497
java.io.FileOutputStream,write,method,495
java.util.concurrent.ExecutorService,submit,method,495
android.content.Context,getContentResolver,method,495
java.lang.Object,getPatient,method,495
java.lang.Object,setVersion,method,494
java.util.Queue,add,method,493
java.io.ByteArrayOutputStream,toString,method,493
org.testng.Assert,assertFalse,method,493
java.io.PrintWriter,flush,method,493
ims.vo.domain.DomainObjectMap,getValueObject,method,492
java.lang.Object,setIsRIE,method,492
ims.vo.domain.DomainObjectMap,addValueObject,method,492
org.hamcrest.CoreMatchers,is,method,491
com.google.gwt.json.client.JSONArray,set,method,491
java.io.IOException,toString,method,491
com.google.common.base.Objects,equal,method,490
com.tectonica.jonix.JPU,getAttribute,method,489
java.nio.ByteBuffer,flip,method,488
android.view.MotionEvent,ACTION_DOWN,variable,487
java.lang.Class,getDeclaredMethod,method,486
javax.servlet.http.HttpServletResponse,setHeader,method,486
java.util.concurrent.ConcurrentHashMap,get,method,485
java.lang.reflect.Method,getReturnType,method,484
ims.framework.controls.DynamicGridRow,getCells,method,484
org.hamcrest.Matchers,is,method,483
